Unnamed: 0,type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),name,desc,is_curve,speed,add_curve,remove_curve
150,T,36.9995946,-86.3718945,516.3,209.1,1.5,0.127,4.01,,,True,31,False,False
151,T,36.9995828,-86.3719026,516.3,208.7,1.4,0.128,4.9,,,True,30,False,False
152,T,36.9995721,-86.371912,516.4,215.1,0.8,0.129,4.77,,,True,28,False,False
153,T,36.9995539,-86.3719227,516.4,205.2,0.4,0.13,7.33,,,True,27,False,False
154,T,36.9995432,-86.3719334,516.4,218.6,0.7,0.131,4.99,,,True,26,False,False
155,T,36.9995325,-86.3719428,516.4,215.1,0.4,0.132,4.77,,,True,25,False,False
156,T,36.9995185,-86.3719562,516.5,217.4,0.4,0.133,6.43,,,True,24,False,False
157,T,36.9995078,-86.3719643,516.5,211.2,0.1,0.134,4.56,,,True,23,False,False
158,T,36.999496,-86.3719737,516.5,212.5,0.0,0.135,5.1,,,True,22,False,False
159,T,36.9994853,-86.3719857,516.5,221.8,0.1,0.136,5.24,,,True,21,False,False
160,T,36.9994725,-86.3719991,516.5,219.9,-0.1,0.137,6.09,,,True,20,False,False
161,T,36.999465,-86.3720139,516.5,237.6,0.3,0.138,5.11,,,True,21,False,False
162,T,36.9994543,-86.3720313,516.5,232.4,0.0,0.14,6.4,,,True,22,False,False
163,T,36.9994478,-86.3720421,516.5,233.0,-0.1,0.14,3.94,,,True,23,False,False
164,T,36.9994403,-86.3720555,516.5,235.0,-0.1,0.141,4.77,,,True,24,False,False
165,T,36.9994318,-86.3720716,516.5,236.5,-0.2,0.142,5.63,,,True,25,False,False
166,T,36.9994232,-86.372089,516.4,238.2,-0.4,0.143,5.97,,,True,26,False,False
167,T,36.9994136,-86.3721078,516.4,237.4,-0.9,0.145,6.51,,,True,27,False,False
168,T,36.9994071,-86.3721198,516.3,235.9,-0.9,0.145,4.23,,,True,28,False,False
169,T,36.9993964,-86.3721386,516.3,234.5,-0.9,0.147,6.73,,,True,29,False,False
170,T,36.9993879,-86.3721561,516.2,238.7,-0.9,0.148,5.97,,,True,30,False,False
171,T,36.9993771,-86.3721748,516.2,234.1,-0.9,0.149,6.73,,,True,31,False,False
172,T,36.9993686,-86.3721909,516.1,236.5,-0.9,0.15,5.63,,,True,32,False,False
173,T,36.9993632,-86.372207,516.1,247.2,-0.6,0.151,5.1,,,True,33,False,False
174,T,36.9993557,-86.3722271,516.0,245.0,-0.7,0.152,6.47,,,True,34,False,False
175,T,36.9993482,-86.3722451,516.0,242.4,-0.7,0.153,5.92,,,True,35,False,False
176,T,36.9993364,-86.3722706,515.9,239.9,-0.8,0.155,8.6,,,True,36,False,False
177,T,36.9993279,-86.3722921,515.9,243.7,-0.7,0.156,7.0,,,True,37,False,False
178,T,36.9993161,-86.3723149,515.8,237.1,-0.9,0.158,7.92,,,True,38,False,False
179,T,36.9993086,-86.3723296,515.8,237.4,-0.9,0.159,5.09,,,True,40,False,False
180,T,36.999299,-86.3723497,515.7,239.1,-1.1,0.16,6.83,,,False,40,False,False
181,T,36.9992915,-86.3723685,515.6,243.5,-1.5,0.161,6.13,,,False,40,False,False
